Sun Aug 15 08:49:49 UTC 2021
Hugo Static Site Generator v0.72.0-8A7EF3CF linux/amd64 BuildDate: 2020-05-31T12:07:45Z
Building sites … 
Template Metrics:

     cumulative       average       maximum         
       duration      duration      duration  count  template
     1.979078ms    1.979078ms    1.979078ms      1  source/terms.html.html
     1.905994ms         546ns     417.933µs   3488  _default/summary.hat.rss.xml
     1.822371ms      18.787µs     225.691µs     97  shortcodes/cardlist.html
     1.435206ms     287.041µs    1.012225ms      5  post/home_item.html
      1.38202ms      57.584µs     445.624µs     24  shortcodes/grid_item.html
     1.338449ms      83.653µs     593.894µs     16  shortcodes/html.html
     1.235283ms    1.235283ms    1.235283ms      1  shortcodes/markdown.html
     1.097015ms      11.309µs     240.661µs     97  shortcodes/card.html
     1.013756ms    1.013756ms    1.013756ms      1  404.html
      982.972µs     491.486µs     982.516µs      2  topics/summary.content.html
       866.97µs      866.97µs      866.97µs      1  shortcodes/blogroll.html
      801.705µs     160.341µs     528.009µs      5  links/home_item.html
      747.386µs      62.282µs     388.003µs     12  shortcodes/grid3.html
      738.793µs       56.83µs     348.061µs     13  fiction/summary.content.html
      624.639µs         610ns     216.158µs   1023  links/single.content.html
      535.215µs     107.043µs     429.102µs      5  partials/block/timestamp.html
      528.676µs      26.433µs     515.163µs     20  shortcodes/photos.html
        478.4µs     159.466µs     346.341µs      3  shortcodes/gallery.html
      426.632µs       1.904µs     353.308µs    224  archm/list_item.html
      392.756µs      18.702µs      385.03µs     21  archy/list_item.html
      109.361µs       54.68µs      92.846µs      2  partials/header/search.html


                   |  EN    
-------------------+--------
  Pages            | 22516  
  Paginator pages  |  1132  
  Non-page files   | 16300  
  Static files     |    41  
  Processed images |  5249  
  Aliases          |  1645  
  Sitemaps         |     1  
  Cleaned          |     0  

Total in 585797 ms
